Ativo;Data;time;open;high;low;close;Volume;Quantidade
WDOFUT;12/01/2022;11:03:00;5.585,000;5.585,000;5.582,500;5.583,000;229.250.745,00;4.106
WDOFUT;12/01/2022;11:02:00;5.583,500;5.585,500;5.582,500;5.585,000;320.092.180,00;5.732
WDOFUT;12/01/2022;11:01:00;5.587,500;5.588,000;5.582,500;5.584,000;507.294.020,00;9.082
WDOFUT;12/01/2022;11:00:00;5.584,000;5.589,500;5.583,500;5.587,000;704.715.840,00;12.613
WDOFUT;12/01/2022;10:59:00;5.584,000;5.585,000;5.583,000;5.584,000;369.004.930,00;6.608
WDOFUT;12/01/2022;10:58:00;5.582,000;5.584,500;5.578,500;5.584,000;600.486.110,00;10.759
WDOFUT;12/01/2022;10:57:00;5.582,000;5.584,000;5.580,000;5.581,500;633.533.125,00;11.349
WDOFUT;12/01/2022;10:56:00;5.579,500;5.582,000;5.578,500;5.581,500;696.385.945,00;12.479
WDOFUT;12/01/2022;10:55:00;5.578,500;5.579,500;5.575,000;5.579,500;473.209.865,00;8.484
WDOFUT;12/01/2022;10:54:00;5.577,000;5.579,000;5.576,000;5.578,000;314.640.980,00;5.641
WDOFUT;12/01/2022;10:53:00;5.577,000;5.578,000;5.575,000;5.577,000;400.131.600,00;7.175
WDOFUT;12/01/2022;10:52:00;5.572,000;5.577,000;5.572,000;5.577,000;443.537.530,00;7.956
WDOFUT;12/01/2022;10:51:00;5.572,500;5.574,500;5.571,000;5.572,000;823.650.100,00;14.781
WDOFUT;12/01/2022;10:50:00;5.574,000;5.575,500;5.571,500;5.572,000;471.932.020,00;8.468
WDOFUT;12/01/2022;10:49:00;5.574,000;5.576,000;5.573,000;5.574,000;699.292.245,00;12.545
WDOFUT;12/01/2022;10:48:00;5.582,500;5.582,500;5.572,500;5.574,000;1.614.832.560,00;28.957
WDOFUT;12/01/2022;10:47:00;5.580,500;5.584,000;5.580,500;5.582,500;278.288.005,00;4.985
WDOFUT;12/01/2022;10:46:00;5.583,000;5.585,500;5.580,000;5.580,500;578.734.255,00;10.367
WDOFUT;12/01/2022;10:45:00;5.582,500;5.586,000;5.580,500;5.583,000;696.798.235,00;12.480
WDOFUT;12/01/2022;10:44:00;5.583,000;5.584,500;5.582,000;5.582,500;351.520.515,00;6.296
WDOFUT;12/01/2022;10:43:00;5.587,000;5.587,000;5.582,500;5.583,000;305.365.785,00;5.468
WDOFUT;12/01/2022;10:42:00;5.587,000;5.588,500;5.584,500;5.586,500;487.806.670,00;8.732
WDOFUT;12/01/2022;10:41:00;5.582,000;5.587,500;5.582,000;5.586,500;814.712.585,00;14.589
WDOFUT;12/01/2022;10:40:00;5.582,000;5.582,500;5.579,500;5.582,000;791.964.470,00;14.191
WDOFUT;12/01/2022;10:39:00;5.582,000;5.584,500;5.581,000;5.581,500;701.455.910,00;12.565
WDOFUT;12/01/2022;10:38:00;5.586,500;5.587,500;5.581,500;5.582,000;1.378.724.100,00;24.690
WDOFUT;12/01/2022;10:37:00;5.593,500;5.594,500;5.585,000;5.586,500;1.536.174.250,00;27.486
WDOFUT;12/01/2022;10:36:00;5.595,500;5.596,500;5.591,500;5.593,500;673.396.265,00;12.039
WDOFUT;12/01/2022;10:35:00;5.591,000;5.597,500;5.591,000;5.595,000;977.292.985,00;17.468
WDOFUT;12/01/2022;10:34:00;5.598,500;5.601,000;5.591,000;5.591,000;1.246.885.490,00;22.286
WDOFUT;12/01/2022;10:33:00;5.600,500;5.601,000;5.594,500;5.598,500;1.489.045.750,00;26.604
WDOFUT;12/01/2022;10:32:00;5.606,500;5.608,000;5.599,000;5.601,000;1.058.123.105,00;18.887
WDOFUT;12/01/2022;10:31:00;5.610,500;5.611,500;5.604,000;5.606,500;679.888.480,00;12.125
